MINISTÉRIO DO DESENVOLVIMENTO REGIONAL  /  SECRETARIA NACIONAL DE SANEAMENTO ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SISTEMA NACIONAL DE INFORMAÇÕES SOBRE SANEAMENTO - SNIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diagnóstico dos Serviços de Água e Esgotos - 2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TABELA COMPLETA DE INFORMAÇÕES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/12/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MUNICÍPIOS;INFORMAÇÕES GERAIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;INFORMAÇÕES FINANCEIRAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;INFORMAÇÕES OPERACIONAIS - ÁGUA;;;;;;;;;;;;;;;;;;;;;;;;INFORMAÇÕES OPERACIONAIS - ESGOTOS;;;;;;;;;;;;;;;INFORMAÇÕES SOBRE QUALIDADE;;;;;;;;;;;;;;;;;;;;;INFORMAÇÕES SOBRE BALANÇO CONTÁBIL;;;;;;;;;;;;;;;
Estado;Quantidade de municípios atendidos;ATENDIMENTO COM ÁGUA;;;;SITUAÇÃO DA DELEGAÇÃO - ÁGUA;;;;;;;ATENDIMENTO COM ESGOTOS;;;;SITUAÇÃO DA DELEGAÇÃO - ESGOTO;;;;;;;POPULAÇÃO RESIDENTE;;;;Quantidade total de empregados próprios;RECEITAS OPERACIONAIS;;;;;;;Arrecadação total;Crédito de contas a receber;DESPESAS TOTAIS COM OS SERVIÇOS (DTS);;;;;;;;;;;;;;;;Serviço da dívida - Parcela 2 de 2 - Amortização;Totais serviço da dívida;INVESTIMENTOS CONTRATADOS PELO PRESTADOR DE SERVIÇOS;;;;;;;;INVESTIMENTOS CONTRATADOS PELA PREFEITURA MUNICIPAL;;;;;;;;INVESTIMENTOS CONTRATADOS PELO GOVERNO DO ESTADO;;;;;;;;POPULAÇÃO ATENDIDA;;QUANTIDADES DE LIGAÇÕES;;;QUANTIDADES DE ECONOMIAS ATIVAS;;;;VOLUMES DE ÁGUA;;;;;;;;;;;;;Extensão da rede;Consumo total de energia elétrica;POPULAÇÃO ATENDIDA;;QUANTIDADES DE ;;QUANTIDADE DE ECONOMIAS ATIVAS;;VOLUMES DE ESGOTO;;;;;;;Extensão da rede de esgoto;Consumo total de energia elétrica;Atendimento da portaria sobre qualidade da Água;PARALISAÇÕES EM SISTEMAS DE ;;;INTERMITÊNCIAS EM SISTEMAS DE ;;;AMOSTRAS PARA ANÁLISE CLORO RESIDUAL;;;AMOSTRAS PARA ANÁLISE ;;;AMOSTRAS PARA ANÁLISE COLIFORMES TOTAIS;;;EXTRAVASAMENTOS DE ESGOTO;;RECLAMAÇÕES E SERVIÇOS ;;;Ativo circulante;Ativo total;Exigível a longo prazo;Lucro líquido com depreciação;Passivo circulante;Patrimônio líquido;Receita operacional;Resultado de exercícios futuros;Resultado operacional com depreciação;Realizável a longo prazo;Lucro líquido sem depreciação;Resultado operacional sem depreciação;;;;
;;Quantidade de municípios atendidos com abastecimen;Aonde atende com abastecimento de água;Quantidade de sedes municipais atendidas com abasteciment;Quantidade localidades atendidas com abastecimento de água;MUNICÍPIOS ATENDIDOS;;;MUNICÍPIOS NÃO ATENDIDOS;;;Ano de vencimento da delegação;Quantidade de municípios atendidos com esgotamento ;Aonde atende com esgotamento sanitário;Quantidade de sedes municipais atendidas com esgotamento ;Quantidade de localidades atendidas com esgotamento ;MUNICÍPIOS ATENDIDOS;;;MUNICÍPIOS NÃO ATENDIDOS;;;Ano de vencimento da delegação;MUNICÍPIOS ATENDIDOS COM ;;MUNICÍPIOS ATENDIDOS COM ;;;Total (direta + indireta);DIRETA;;;;;Indireta;;;Total (DTS);DESPESAS DE EXPLORACÃO (DEX);;;;;;;;;SERVIÇO DA DÍVIDA - PARCELA 1 DE 2;;;Depreciação, amortização e provisão;Fiscais ou tributárias não incidentes na DEX;Outras despesas;;;SEGUNDO O DESTINO;;;;SEGUNDO A ORIGEM;;;Total;SEGUNDO O DESTINO;;;;SEGUNDO A ORIGEM;;;Total;SEGUNDO O DESTINO;;;;SEGUNDO A ORIGEM;;;Total;População total atendida com abastecimento de água;População urbana atendida com abastecimento de água;Total (ativas + inativas);Ativas;Ativas micromedidas;Total (ativas);Micromedidas;Residenciais;Residencias micromedidas;Produzido;Macromedido;De serviço;Tratada importado;Bruta exportado;Tratada exportado;Tratado em ETA(s);Tratada por simples desinfecção;Fluoretada;Micromedido;Consumido;Faturado;Micromedido nas economias residenciais ativas;;;População total atendida com esgotamento sanitário;População urbana atendida com esgotamento sanitário;Total (ativas + inativas);Ativas;Total   (ativas);Residenciais;Coletado;Tratado;Bruto exportado;Bruto exportado tratado nas instalações do importador;Bruto importado;Bruto importado tratado nas instalações do importador;Faturado;;;;Paralisações;Duração;Economias ativas atingidas;Interrupções;Duração;Economias ativas atingidas;Obrigatórias;Analisadas;Resultados fora do padrão;Obrigatórias;Analisadas;Resultados fora do padrão;Obrigatórias;Analisadas;Resultados fora do padrão;Extravasamentos;Duração;Reclamações ou solicitações de serviços;Serviços executados;Tempo total de execução dos serviços;;;;;;;;;;;;;;;;
;;;;;;Com delegação em vigor;Com delegação vencida;Sem delegação;Com delegação em vigor;Com delegação vencida;Sem delegação;;;;;;Com delegação em vigor;Com delegação vencida;Sem delegação;Com delegação em vigor;Com delegação vencida;Sem delegação;;População residente total, segundo o IBGE;População residente urbana;População residente total, segundo o IBGE;População residente urbana;;;Total;Água;Esgoto;Água Exportada;Esgoto bruto importado;;;;;Total (DEX);Pessoal próprio;Produtos químicos;Energia elétrica;Serviços de terceiros;Água importada (bruta ou tratada);Esgoto bruto exportado;Fiscais ou tributárias computadas na DEX;Outras despesas de exploração;Juros e encargos;Variação cambial;Total;;;;;;Despesas Capitalizáveis;Abastecimento de Água;Esgotamento Sanitário;Outros;Próprios;Onerosos;Não onerosos;;Despesas Capitalizáveis;Abastecimento de Água;Esgotamento Sanitário;Outros;Próprios;Onerosos;Não onerosos;;Despesas Capitalizáveis;Abastecimento de Água;Esgotamento Sanitário;Outros;Próprios;Onerosos;Não onerosos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;município;município;-;sede;localidade;município;município;município;município;município;município;ano;município;-;sede;localidade;município;município;município;município;município;município;ano;habitante;habitante;habitante;habitante;empregado;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;R$/ano;habitante;habitante;ligação;ligação;ligação;economia;economia;economia;economia;1.000 m³/ano;1.000 m³/ano;1.000 m³/ano;1.000 m³/ano;1.000 m³/ano;1.000 m³/ano;1.000 m³/ano;1.000 m³/ano;1.000 m³/ano;1.000 m³/ano;1.000 m³/ano;1.000 m³/ano;1.000 m³/ano;km;1.000 ;habitante;habitante;ligação;ligação;economia;economia;1.000 m³/ano;1.000 m³/ano;1.000 ;1.000 ;1.000 m³/ano;1.000 m³/ano;1.000 m³/ano;km;1.000 ;-;paralisação/a;hora/ano;economia/an;interrupção/a;hora/ano;economia/an;amostra/ano;amostra/ano;amostra/ano;amostra/ano;amostra/ano;amostra/ano;amostra/ano;amostra/ano;amostra/ano;extravasamentos/ano;hora/ano;reclamações/;serviço/ano;hora/ano;1.000 ;1.000 ;1.000 ;1.000 ;1.000 ;1.000 ;1.000 ;1.000 ;1.000 ;1.000 ;1.000 ;1.000 ;;;;
-;GE005;GE05a;GE019;GE008;GE010;GE001;GE002;GE003;GE025;GE026;GE027;GE017;GE05b;GE020;GE009;GE011;GE014;GE015;GE016;GE028;GE029;GE030;GE018;GE12a;GE06a;GE12b;GE06b;FN026;FN005;FN001;FN002;FN003;FN007;FN038;FN004;FN006;FN008;FN017;FN015;FN010;FN011;FN013;FN014;FN020;FN039;FN021;FN027;FN035;FN036;FN016;FN019;FN022;FN028;FN034;FN037;FN018;FN023;FN024;FN025;FN030;FN031;FN032;FN033;FN041;FN042;FN043;FN044;FN045;FN046;FN047;FN048;FN051;FN052;FN053;FN054;FN055;FN056;FN057;FN058;AG001;AG026;AG021;AG002;AG004;AG003;AG014;AG013;AG022;AG006;AG012;AG024;AG018;AG017;AG019;AG007;AG015;AG027;AG008;AG010;AG011;AG020;AG005;AG028;ES001;ES026;ES009;ES002;ES003;ES008;ES005;ES006;ES012;ES015;ES013;ES014;ES007;ES004;ES028;QD001;QD002;QD003;QD004;QD021;QD022;QD015;QD020;QD006;QD007;QD019;QD008;QD009;QD028;QD026;QD027;QD011;QD012;QD023;QD024;QD025;BL001;BL002;BL003;BL004;BL005;BL006;BL007;BL008;BL009;BL010;BL011;BL012;;;;
N - Norte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acre (AC);22;22;;22;5;22;;;;;;;1;;1;0;1;;;21;;;;881.935;638.685;407.319;373.994;890;73.604.407,39;73.028.994,82;64.063.550,82;8.965.444,00;0,00;0,00;575.412,57;35.087.386,34;194.126.509,00;95.656.551,33;80.705.515,47;41.865.198,79;14.107.719,98;22.096.302,28;2.142.614,68;0,00;0,00;493.679,74;0,00;0,00;0,00;0,00;1.872.809,57;0,00;13.078.226,29;0,00;0,00;0,00;45.226,85;0,00;0,00;45.226,85;0,00;0,00;45.226,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18.613.146,91;2.597.554,98;0,00;510.489,25;14.223.060,80;6.477.151,84;21.210.701,89;423.469;408.163;160.454;114.200;63.021;118.276;69.121;112.376;65.613;59.815,77;30.704,28;1.310,03;0,00;0,00;0,00;54.977,40;4.819,89;0,00;14.930,44;22.986,44;22.986,44;12.925,22;2.413,59;43.940,47;88.199;87.950;56.877;23.075;27.055;24.915;4.472,62;4.472,62;0,00;0,00;0,00;0,00;4.472,62;548,34;1.049,67;;496;5.121;1.310.244;9.259;107.592,00;170.082.884;107.484;105.226;1.519;107.484;20.774;11.963;10.614;5.668;453;;;28.399;23.554;249.216,00;;;;;;;;;;;;;;;;
Amapá (AP);16;16;;16;53;0;0;16;0;0;;;6;;6;0;0;0;6;0;0;;;845.731;756.416;688.099;640.591;356;71.353.904,07;68.992.928,48;56.785.323,26;12.178.855,22;0,00;28.750,00;2.360.975,59;29.973.863,01;42.868.927,27;166.260.395,48;77.962.446,15;40.863.832,95;8.535.081,27;11.506.219,42;3.917.237,00;0,00;0,00;0,00;13.140.075,51;0,00;0,00;0,00;6.445.065,51;81.330.185,48;522.698,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;223.413,23;1.024.839,96;0,00;1.248.253,19;0,00;0,00;1.248.253,19;290.944;284.015;93.858;67.411;18.085;76.452;21.073;68.250;19.022;65.815,23;0,00;0,00;0,00;0,00;0,00;60.810,07;3.747,31;36.165,18;2.083,87;17.394,68;20.695,13;2.058,49;1.078,39;23.016,11;59.574;59.574;14.851;13.527;18.474;14.162;3.024,74;2.871,23;0,00;0,00;174,91;174,91;3.024,91;124,39;453,00;;44;264;39.546;0;0,00;0;58.350;5.181;335;56.130;5.301;1.136;5.676;79;22;95;142,50;1.602;1.315;986,25;135.643,54;278.148,39;84.534,72;0,00;467.272,45;-273.658,79;65.039,81;0,00;10.235,88;0,00;0,00;16.680,95;;;;
Amazonas (AM);25;25;;25;137;4;1;8;;;;;3;;3;1;1;0;0;;;;;2.951.514;2.600.266;2.227.735;2.202.238;1.428;578.038.136,60;527.697.863,77;472.271.251,57;55.426.612,20;0,00;0,00;50.340.272,83;383.002.241,46;352.815.475,85;503.320.306,68;280.890.468,52;60.053.832,04;20.967.873,89;74.720.575,75;58.014.668,30;33.099.109,51;0,00;7.849.855,28;26.184.553,87;5.642.612,58;3.098.747,68;8.741.360,26;28.439.148,07;50.134.827,22;135.114.456,84;29.236.229,58;37.977.589,84;30.231,19;112.046.157,36;36.203.387,84;29.470.878,57;89.073.902,35;88.676.752,61;0,00;177.750.654,96;155.000,00;1.200.154,84;80.000,00;78.000,00;889.654,84;35.000,00;0,00;1.513.154,84;0,00;0,00;0,00;25.000,00;0,00;0,00;0,00;25.000,00;2.584.829;2.469.532;596.450;531.967;404.731;644.996;482.436;595.698;463.743;248.938,11;265.493,30;49.291,97;70.084,95;0,00;25,00;196.716,84;37.590,80;183.990,39;57.721,96;86.277,83;103.557,25;48.227,51;5.898,28;161.619,99;441.358;441.122;110.921;67.506;76.511;70.063;19.754,57;19.544,57;0,00;0,00;0,00;0,00;10.491,18;602,41;4.467,23;;386;10.813;67.241;233;4.439,00;31.739;107.424;81.312;1.053;107.827;74.083;3.657;31.106;21.804;280;4.552;22.556,00;86.228;85.747;349.122,85;498.923,00;1.596.187,00;380.793,00;125.935,00;382.943,00;832.451,00;781.619,00;0,00;262.786,00;242.868,00;172.807,00;309.657,00;;;;
Pará (PA);87;86;;86;545;21;39;0;;;;;17;;17;2;6;1;0;14;38;;;6.836.471;5.007.596;3.617.945;3.211.354;2.718;424.515.542,50;414.813.887,23;377.845.477,56;36.918.409,67;0,00;50.000,00;9.701.655,27;314.921.677,58;169.074.765,73;775.753.363,00;509.551.844,60;214.055.745,11;23.870.821,22;133.410.842,01;97.663.629,93;745.857,30;3.000,00;21.304.140,13;18.497.808,50;87.132.599,40;19.263.076,81;106.395.676,21;147.826.409,36;-1.944.507,24;13.805.040,07;4.234.256,45;110.629.932,66;4.056,00;21.725.892,74;1.102.502,71;1.536.666,03;20.055.348,42;4.271.848,87;0,00;24.369.117,48;1.282.370,27;9.369.714,74;9.851.418,11;3.674.949,22;12.232.008,70;1.179.355,00;9.731.073,85;24.178.452,34;0,00;119.197.135,88;996.082,55;6.259.011,18;0,00;0,00;125.589.046,49;125.589.046,49;2.967.413;2.787.708;844.727;687.222;257.547;830.528;344.033;705.280;306.251;272.605,53;58.974,65;5.492,96;235,00;1,00;100,00;138.507,44;110.114,03;1.615,34;50.443,98;159.523,15;130.980,17;44.078,11;9.425,29;287.435,58;405.270;405.070;92.575;89.112;124.236;96.930;25.389,39;11.041,80;550,00;500,00;1.000,00;400,00;16.578,31;1.171,57;4.800,92;;1.622;20.890;1.373.438;688;12.157,77;362.689;187.164;62.141;2.851;180.150;62.120;2.352;85.180;31.366;737;112;173,34;327.551;208.984;156.224,36;182.963,40;1.898.015,47;544.438,34;-253.187,25;976.585,50;376.817,63;356.537,46;0,00;-251.712,25;108.102,43;-210.412,93;-208.937,93;;;;
Rondônia (RO);48;48;;48;42;25;0;16;;;;;10;;10;2;4;0;0;19;;;;1.744.962;1.316.706;893.924;770.529;994;194.942.142,21;178.984.289,60;170.501.396,71;8.482.892,89;0,00;0,00;15.957.852,61;181.580.012,92;113.632.400,44;245.489.638,09;232.667.691,76;106.268.383,48;9.115.996,81;27.051.731,23;21.857.344,79;0,00;0,00;22.170.134,18;46.204.101,27;0,00;1,85;1,85;7.642.746,33;682.022,00;4.497.176,15;0,00;1,85;0,00;8.663.282,23;556.338,15;2.436.552,56;2.007.536,28;9.648.636,66;0,00;11.656.172,94;0,00;38.300,66;7.714,99;0,00;0,00;7.714,99;0,00;46.015,65;0,00;6.434.332,13;951.619,05;0,00;0,00;0,00;7.385.951,18;7.385.951,18;818.865;811.797;414.381;241.863;199.328;266.764;217.643;242.335;185.863;111.830,01;19.057,24;1.077,67;0,00;0,00;0,00;74.025,25;30.223,41;5.568,81;31.267,18;43.427,38;46.258,39;26.207,85;5.163,22;48.154,23;103.461;95.838;39.690;30.927;34.801;29.688;3.989,32;3.073,45;0,00;0,00;0,00;0,00;3.765,42;388,58;600,07;;330;3.379;1.301.278;4.237;54.034,00;17.724.061;44.530;54.255;2.075;37.746;47.586;4.051;14.902;6.711;536;1.822;377,00;216.194;198.802;230.373,59;130.236,26;425.753,47;1.284.831,76;-64.598,75;156.045,32;-1.015.122,61;166.292,75;0,00;-53.205,89;10.348,68;-55.599,21;72.914,35;;;;
Roraima (RR);15;15;;15;20;13;;2;;;;;3;;3;0;1;;;12;;;;605.761;473.160;433.548;407.276;757;103.233.786,81;96.647.321,62;66.628.267,55;30.019.054,07;0,00;0,00;6.586.465,19;78.954.999,00;36.262.852,93;174.949.984,21;104.434.997,12;58.178.468,58;4.091.314,25;13.436.478,02;8.983.294,54;0,00;0,00;9.513.935,01;10.231.506,72;0,00;0,00;0,00;19.140.477,83;16.861.438,79;34.513.070,47;0,00;0,00;0,00;1.248.000,00;0,00;219.000,00;1.467.000,00;0,00;0,00;1.467.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.064.592,78;1.814.845,12;27.047.474,28;0,00;1.309.744,06;0,00;28.617.168,12;29.926.912,18;494.697;471.565;130.523;116.730;76.682;117.514;76.890;111.524;72.352;66.184,99;29.947,30;25,92;0,00;0,00;0,00;35.921,51;30.263,48;0,00;15.061,87;22.912,62;20.072,41;11.669,13;1.954,21;26.643,01;365.286;365.286;92.578;88.809;89.037;84.145;17.147,36;17.117,36;0,00;0,00;0,00;0,00;10.394,33;1.031,09;4.188,58;;0;0;;0;0,00;;40.799;82.382;1.341;40.795;61.985;231;6.369;6.619;0;3.851;10.718,00;88.856;83.035;29.325,27;41.976,00;101.538,00;0,00;-71.047,00;460.721,00;-393.422,00;89.953,00;0,00;-71.047,00;0,00;-67.109,00;-67.109,00;;;;
Tocantins (TO);143;143;;143;39;136;0;0;0;0;;;18;;17;3;16;0;0;85;0;;;1.773.858;1.373.621;899.467;797.854;1.609;529.281.885,11;497.389.861,00;382.739.564,80;114.635.296,20;15.000,00;0,00;31.892.024,11;504.341.349,46;138.611.897,63;510.080.994,40;312.103.951,58;110.643.890,59;5.434.289,56;40.501.873,28;41.599.456,68;0,00;0,00;42.263.580,31;71.660.861,16;119.495.463,84;0,00;119.495.463,84;79.479.680,36;-2.527.534,93;896.688,70;11.028.844,98;130.524.308,82;0,00;90.873.566,66;62.429.691,06;8.678.981,00;73.438.615,83;88.526.396,89;0,00;161.982.238,72;0,00;59.444,82;0,00;0,00;59.444,82;0,00;0,00;59.444,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.407.463;1.330.372;565.649;494.325;485.736;517.510;509.590;449.973;444.735;108.222,99;83.347,72;1.965,48;68,48;0,00;6.218,48;56.895,33;48.784,09;78.825,88;57.982,09;70.562,71;79.407,54;54.097,64;9.634,15;61.913,87;464.838;464.338;150.747;141.754;150.847;137.972;17.835,93;17.604,73;0,00;0,00;0,00;0,00;23.851,69;2.518,97;6.764,22;;832;23.885;1.692.881;377;3.818,18;1.087.004;223.433;238.061;220;223.531;237.056;210;77.745;81.167;113;722;2.049,68;1.486.580;1.367.580;41.273.171,32;366.946,00;1.521.295,00;1.092.348,00;-8.399,00;379.249,00;49.926,00;445.812,00;0,00;91.477,00;124.384,00;59.201,00;159.077,00;;;;
Total por grupo:;355;355;;355;841;221;40;42;0;0;;;58;;57;8;29;1;6;151;38;;;15.640.232;12.166.450;9.168.037;8.403.836;8.752;1.974.969.804,69;1.857.555.146,52;1.590.834.832,27;266.626.564,25;15.000,00;78.750,00;117.414.658,17;1.527.861.529,77;1.047.392.828,85;2.471.511.233,19;1.598.316.915,20;631.929.351,54;86.123.096,98;322.724.021,99;234.178.245,92;33.844.966,81;3.000,00;103.595.324,65;185.918.907,03;212.270.675,82;22.361.826,34;234.632.502,16;290.846.337,03;144.536.431,32;202.427.356,86;44.499.331,01;279.131.833,17;34.287,19;234.602.125,84;100.291.919,76;42.342.078,16;186.087.629,73;191.123.635,03;0,00;377.270.410,95;1.437.370,27;10.667.615,06;9.939.133,10;3.752.949,22;13.181.108,36;1.222.069,99;9.731.073,85;25.797.067,65;1.064.592,78;146.282.873,27;32.617.570,82;6.284.011,18;3.068.486,50;14.223.060,80;168.069.317,63;185.385.864,93;8.987.680;8.563.152;2.806.042;2.253.718;1.505.130;2.572.040;1.720.786;2.285.436;1.557.579;933.412,63;487.524,49;59.164,03;70.388,43;1,00;6.343,48;617.853,84;265.543,01;306.165,60;229.491,39;423.084,81;423.957,33;199.263,95;35.567,13;652.723,26;1.927.986;1.919.178;558.239;454.710;520.961;457.875;91.613,93;75.725,76;550,00;500,00;1.174,91;574,91;72.578,46;6.385,35;22.323,69;;3.710;64.352;5.784.628;14.794;182.040,95;189.288.377;769.184;628.558;9.394;753.663;508.905;23.600;231.592;153.414;2.141;11.154;36.016,52;2.235.410;1.969.017;42.288.419,64;1.356.688,20;5.820.937,33;3.386.945,82;-271.297,00;2.822.816,27;-423.008,77;1.905.254,02;0,00;-11.466,26;485.703,11;-101.113,14;282.282,37;;;;
NE - Nordeste;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
